Building Address,Building Class,City,Rentable Building Area,State,Year Built,Zip,Submarket,Market
#2 Sidney St,C,Saint Louis,15000,MO,1979,63104,St Louis City South,Saint Louis - MO
0 16th Rd,,Niangua,,MO,,65713,Webster County,Springfield  - MO
0 63 Hwy,,Columbia,,MO,,65203,,Columbia - MO
0 Arbor Ln,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Corral Ln,,Fair Grove,,MO,,65648,Dallas County,Springfield  - MO
0 Creek Trail Dr,,Jefferson City,,MO,,65109,,Jefferson City - MO
0 E Evergreen,,Strafford,,MO,,65757,Webster County,Springfield  - MO
0 E Hwy N,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
0 E Pitman Ave,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
0 Equestrian Rd,,Ozark,,MO,,65721,East Christian County,Springfield  - MO
0 Golf Course Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Golf Course Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Hwy C/US Hwy 60,,Seymour,,MO,,65746,Webster County,Springfield  - MO
0 K-68 Hwy,,Paola,,MO,,66071,Outer South Kansas City,Kansas City - MO
0 MATNEY HOLLOW Rd,,Seymour,,MO,,65746,Webster County,Springfield  - MO
0 Mo 14,,Sparta,,MO,,65753,East Christian County,Springfield  - MO
0 Mulberry Rd,,Highlandville,,MO,,65669,West Christian County,Springfield  - MO
0 N Hwy,,Humansville,,MO,,65674,Polk County,Springfield  - MO
0 N Marshall St,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 N PENNY Ln,,Springfield,,MO,,65803,Outlying Greene County,Springfield  - MO
0 Parker Dr,,Portland,,MO,,65067,,Jefferson City - MO
0 Prosperity Rd,,Joplin,,MO,,64801,,Joplin - MO
0 Ridge Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 S Brushwood Lake Rd,,Columbia,,MO,,65203,,Columbia - MO
0 SELMORE Rd,,Ozark,,MO,,65721,East Christian County,Springfield  - MO
0 Sparkle Brook Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Sparkle Brook Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Sparkle Brook Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Sparkle Brook Rd,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0 Veterans Memorial Pky,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
0 W Fir Rd,,Carthage,,MO,,64836,,Joplin - MO
0 W Highway D,,Foristell,,MO,,63385,St Charles County,Saint Louis - MO
0 W Kearney St,,Springfield,,MO,,65803,Northwest,Springfield  - MO
0 W REPUBLIC Rd,,Springfield,,MO,,65810,Southwest,Springfield  - MO
00 E Farm Rd 170 Rd,,Republic,,MO,,65738,Outlying Greene County,Springfield  - MO
00 E Hwy 60,,Rogersville,,MO,,65742,Outlying Greene County,Springfield  - MO
00 Hospital Drive,,Paola,,MO,,66071,Outer South Kansas City,Kansas City - MO
000 Highway 60 - Lot 1,,Seymour,,MO,,65746,Webster County,Springfield  - MO
000 Hwy 60,,Seymour,,MO,,65746,Webster County,Springfield  - MO
000 S Old Plank Blvd,,Columbia,,MO,,65203,,Columbia - MO
0000 Main St,,Republic,,MO,,65738,Outlying Greene County,Springfield  - MO
0000 State Y Hwy,,Marshfield,,MO,,65706,Webster County,Springfield  - MO
0001 Columbia Gorge Pky,,Columbia,,MO,,65202,,Columbia - MO
01-01-06-200-003,,,,MO,,62249,Illinois,Saint Louis - MO
01-01-08-400-002,,,,MO,,62249,Illinois,Saint Louis - MO
01-15-400-013,,Fair Grove,,MO,,65648,Polk County,Springfield  - MO
01-26-400-013,,Fair Grove,,MO,,65648,Polk County,Springfield  - MO
02-23-400-013,,Springfield,,MO,,65809,Northeast,Springfield  - MO
02-30-400-015,,Pleasant Hope,,MO,,65725,Polk County,Springfield  - MO
02-31-300-017,,Pleasant Hope,,MO,,65725,Outlying Greene County,Springfield  - MO
02-31-400-039,,Pleasant Hope,,MO,,65725,Polk County,Springfield  - MO
02-35-100-006,,Fair Grove,,MO,,65648,Polk County,Springfield  - MO
03-03-22-300-005,,,,MO,,63119,Hanley,Saint Louis - MO
03-20-100-007,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
03-20-200-009,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
03-22-200-009,,Springfield,,MO,,65803,Northwest,Springfield  - MO
03-27-200-033,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
03-29-100-005,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
03-33-200-014,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
04-15-300-014,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
04-16-100-003,,Willard,,MO,,65781,Polk County,Springfield  - MO
04-16-300-002,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
04-22-300-003,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
04-24-200-001,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
05-21-400-013,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
05-24-100-012,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
05-26-300-002,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
05-36-200-028,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
06-01-300-009,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
06-01-300-010,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
06-04-200-003,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
06-06-300-007,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
06-07-300-006,,Ash Grove,,MO,,65604,,Springfield  - MO
06-10-300-005,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
06-11-200-008,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
06-15-200-002,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
06-24-400-007,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
07-01-300-008,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-02-400-012,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-04-300-015,,Ash Grove,,MO,,65604,Outlying Greene County,Springfield  - MO
07-11-300-002,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-13-400-002,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-19-400-003,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-21-300-006,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
07-27-200-007,,Walnut Grove,,MO,,65770,Outlying Greene County,Springfield  - MO
07-36-100-065,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-02-200-005,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-04-300-021,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-05-400-001,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-06-100-016,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-08-300-018,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-16-400-007,,,,MO,,65803,Outlying Greene County,Springfield  - MO
08-19-200-028,,Willard,,MO,,65781,Outlying Greene County,Springfield  - MO
08-21-200-028,,Springfield,,MO,,65802,Northwest,Springfield  - MO
08-36-200-008,,Springfield,,MO,,65803,Northwest,Springfield  - MO
09-03-400-010,,Springfield,,MO,,65803,Outlying Greene County,Springfield  - MO
09-07-400-001,,,,MO,,63005,Chesterfield/Hwy-40,Saint Louis - MO
09-16-200-005,,Springfield,,MO,,65803,Northwest,Springfield  - MO
09-26-300-029,,Springfield,,MO,,65803,Northwest,Springfield  - MO
09-28-200-003,,Springfield,,MO,,65803,Outlying Greene County,Springfield  - MO
09-30-200-029,,Springfield,,MO,,65803,Northwest,Springfield  - MO
09-34-300-002,,Springfield,,MO,,65803,Northwest,Springfield  - MO
1 Action Dr,B,Odessa,76359,MO,1971,64076,Lafayette County,Kansas City - MO
1 Action Dr,B,Odessa,123176,MO,1922,64076,Lafayette County,Kansas City - MO
1 Action Dr,B,Odessa,105000,MO,1922,64076,Lafayette County,Kansas City - MO
1 Andrews Way,B,Cuba,100000,MO,2014,65453,Crawford County,Saint Louis - MO
1 Angelica St,C,Saint Louis,18000,MO,1901,631473401,St Louis City North,Saint Louis - MO
1 Backhoe Blvd,B,Washington,11944,MO,1999,63090,Franklin County,Saint Louis - MO
1 Busch Blvd,A,Belleville,166000,MO,2001,622231017,Illinois,Saint Louis - MO
1 Caine Dr,C,Madison,11875,MO,,62060,Illinois,Saint Louis - MO
1 Caprice Dr,,Chesterfield,,MO,,630051309,Chesterfield/Hwy-40,Saint Louis - MO
1 Champion Dr,C,Fenton,12000,MO,,63026,Jefferson County,Saint Louis - MO
1 Commercial St,C,Millstadt,5000,MO,1996,622602057,Illinois,Saint Louis - MO
1 E (M) Baseline Rd,,Jasper,,MO,,64755,,Joplin - MO
1 E State St,C,Union,3196,MO,1989,63084,Franklin County,Saint Louis - MO
1 East Road,,Webb City,,MO,,64870,,Joplin - MO
1 Freedom Dr,B,Belleville,54000,MO,,62226,Illinois,Saint Louis - MO
1 Grandview Park Dr,C,Arnold,6000,MO,,630103903,Jefferson County,Saint Louis - MO
1 Highway OO,,Hallsville,,MO,,65255,,Columbia - MO
1 Holiday Dr,C,Belleville,16000,MO,1960,622202925,Illinois,Saint Louis - MO
1 Lami Industrial Dr,C,Saint Peters,27114,MO,1980,633045562,St Charles County,Saint Louis - MO
1 Loma Linda Dr,,Joplin,,MO,,64804,,Joplin - MO
1 Mc Cormick Ln,C,Weston,61750,MO,2004,640989558,Airport/N Platte Co,Kansas City - MO
1 Mechanical Dr,B,Bethalto,5500,MO,,62024,Illinois,Saint Louis - MO
1 Midwest Dr,B,Pacific,50000,MO,1972,63069,Franklin County,Saint Louis - MO
1 N 2nd St,C,Kansas City,1930,MO,1930,661181103,Armourdale,Kansas City - MO
1 N Hwy 94,C,Saint Charles,12000,MO,1989,633045605,St Charles County,Saint Louis - MO
1 N Mason Cir,,Pevely,,MO,,63070,Jefferson County,Saint Louis - MO
1 N Service Rd,C,Saint Peters,20000,MO,1972,63376,St Charles County,Saint Louis - MO
1 NE Harlem Rd,C,Kansas City,2542,MO,,64116,City of North KC,Kansas City - MO
1 Parkway Dr,C,Saint Peters,12480,MO,1970,63376,St Charles County,Saint Louis - MO
1 Resource Dr,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
1 SW 5th St,C,Lees Summit,1873,MO,1960,64063,"Lee's Summit",Kansas City - MO
1 Shiloh Dr,C,Union,37500,MO,1980,63084,Franklin County,Saint Louis - MO
1 Southgate Dr,C,Freeburg,24021,MO,,622431544,Illinois,Saint Louis - MO
1 Southgate Dr,C,Freeburg,2160,MO,,622431544,Illinois,Saint Louis - MO
1 State Hwy 160,,Highland,,MO,,622491405,Illinois,Saint Louis - MO
1 State St,C,Union,2610,MO,1989,630841664,Franklin County,Saint Louis - MO
1 Team Dr,C,"O'Fallon",5400,MO,1960,633662785,St Charles County,Saint Louis - MO
1 Tenbrook Industrial Ct,C,Arnold,9390,MO,,63010,Jefferson County,Saint Louis - MO
1 Trans-Tech Dr,C,Union,55200,MO,,63084,Franklin County,Saint Louis - MO
1 Ultraway Dr,C,Highland,34000,MO,,622491241,Illinois,Saint Louis - MO
1 Wentzville Parkway,,Wentzville,,MO,,63385,St Charles County,Saint Louis - MO
1 Whiskey Rd,C,Belleville,14400,MO,1972,622202966,Illinois,Saint Louis - MO
